item,price,how_many,type
tuna salad kit,1.63,19,food
tuna salad kit,1.63,19,food
tangled,1.99,1,technology
almond milk,1.99,19,food
kashi cereal bars,2.47,19,food
kashi cereal bars,2.47,19,food
milano cookies,2.5,19,food
milano cookies,2.5,19,food
spam,2.79,19,food
spam,2.79,19,food
skinnypop popcorn,2.79,19,food
kashi oatmeal cookies,2.98,19,food
insidious: chapter 2,2.99,1,technology
sweeney todd,2.99,1,technology
campbell's chicken noodle soup,3.12,19,food
campbell's chicken noodle soup,3.12,19,food
tortilla chips,3.48,19,food
kashi dark cocoa cereal,3.68,19,food
tuna - four pack,3.69,19,food
tuna - four pack,3.69,19,food
world war z,3.99,1,technology
insidious: chapter 1,3.99,1,fashion/makeup
crimson peak,3.99,1,fashion/makeup
lace-up knit tee,4,4,fashion/makeup
mock neck swing dress,4,4,fashion/makeup
lara protein bars,4.98,19,food
biolage conditioner,4.99,2,fashion/makeup
screw on bottle opener,5,2,miscellanous
denim mini skirt,5,2,fashion/makeup
sports bra,5,4,fashion/makeup
tracing paper,5.48,2,miscellanous
maybelline face powder,5.79,3,fashion/makeup
maybelline face powder,5.99,1,fashion/makeup
iphone tempered glass,5.99,1,technology
maybelline face powder,5.99,1,fashion/makeup
cleansing facial wipe,6.89,3,fashion/makeup
faux leather belt,6.9,2,fashion/makeup
pistachios,7.88,19,food
maybelline undereye concealer,7.89,3,fashion/makeup
iphone tempered glass,7.99,2,technology
metallic anorak jacket,10,4,fashion/makeup
stainless steel earrings,10.99,1,fashion/makeup
high waisted leggings,11.17,3,fashion/makeup
high waisted leggings,11.17,3,fashion/makeup
guinness ireland shot glasses,11.29,1,miscellanous
macbook case cover,11.99,1,technology
travel umbrella,12.91,1,miscellanous
pilot G2 12 pack black pens,12.99,1,miscellanous
self-tie tank top,12.99,2,fashion/makeup
iphone tempered glass,12.99,1,miscellanous
suede skirt,13.99,2,fashion/makeup
white bodysuit,13.99,1,fashion/makeup
essential biochemistry textbook,14.23,1,miscellanous
the art in theatre textbook,14.73,1,miscellanous
biolage shampoo,14.99,2,fashion/makeup
fanny pack with drink holder,15,2,fashion/makeup
fashion tape,15.98,1,fashion/makeup
phone charger,15.98,1,technology
black turtle neck,15.99,2,fashion/makeup
tegaderm bandages,16.39,1,miscellanous
bed sheets,16.99,1,miscellanous
chemistry shot glasses,17.46,1,miscellanous
bid day shirt,18,1,fashion/makeup
black top with bardot neck,19,4,fashion/makeup
the greatest showman ,19.99,1,technology
suede skirt,19.99,2,fashion/makeup
checkers shot glass game,20.45,1,miscellanous
oral-b power toothbrush,21.9,1,miscellanous
crop hoodie,22.37,3,fashion/makeup
cropped t-shirt,22.95,2,fashion/makeup
hippie tassel vest,25.16,1,fashion/makeup
fire stick tv,26.31,1,technology
black embroidered dress,27.5,3,fashion/makeup
white peplum top,29,3,fashion/makeup
UR aftershave,32,1,fashion/makeup
oral-b power toothbrush,32.89,1,miscellanous
cotton smock top,35,4,fashion/makeup
ugly christmas sweater,35.95,1,fashion/makeup
cc+ cream/foundation ,38,1,fashion/makeup
mattress pad,39,1,miscellanous
white jeans,39.95,1,fashion/makeup
colorblock sweater,39.95,2,fashion/makeup
smock top,40,4,fashion/makeup
embroidered mini skirt,40,4,fashion/makeup
white skirt,42,3,fashion/makeup
quip toothbrush,45,1,miscellanous
navy dress,45,1,fashion/makeup
fresh best of beauty bundle,50,1,fashion/makeup
cooler painting kit,55,2,miscellanous
fujifilm instax mini 9,55.61,2,technology
fujifilm instax mini 9,55.61,2,technology
Ecentrcq Sneaker,59.95,2,fashion/makeup
nike flex experience,65,2,fashion/makeup
shark jumpsuit,68,2,fashion/makeup
caudalie skin kit,79,1,fashion/makeup
wildfox perfume,99,1,fashion/makeup
white lace tunic,108,1,fashion/makeup
YSL perfume,118,1,fashion/makeup
beats headphones,124.96,1,technology
suede vest,140,1,fashion/makeup
